1회섭취참고량, RAFOS
수집, CLCT
수취인, ADDRSE
수행, FLFMT
수험자, EXMNE
승강기, ELVTR
승용, PSNGR
승인, APRV
승인자, AUTZR
승차정원, RDCPCT
시각, TM
시간, HR
시공자, BLDR
시군, SIGUN
시군구, SGG
시도, CTPV
시료, SPCM
시설, FCLT
시설면적, FCAR
시스템, SYS
시작, BGNG
시정, CRCT
시행, ENFC
시행자, DVLR
시험, TEST
식별, IDNTF
식품, FOOD
신고, DCLR
신고자, DCL
신규, NEW
신용카드, CRCD
신청, APLY
신청자, APLCNT
실적, PRFMNC
실제, ACTL
실패, FAIL
실행, EXCN
심사, SRNG
심의, DLBR
아이디, ID
아파트, APT
안건, AGND
암호화, ENCPT
압류, SZR
약관, TRMS
양성화, LGLZTN
업로드, ULD
업무, TASK
업종, TPBIZ
업체, BZENTY
업태, BZSTAT
에듀파인, EDUF
여권번호, PNO
여부, YN
연결, LNKG
연계, LINK
연구, RSRCH
연도, YR
연령, AGE
연수, STRN
연월, YM
열람, PRSL
열람자, RDR
영문, ENG
예금주, DPSTR
예산, BGT
예약, RSVT
예정, PRNMNT
오류, ERR
옥내, INDR
옥외, OTDR
완료, CMPTN
외국인, FRGNR
외국인등록번호, FRNO
외식, EATOUT
외필지, BYLT
요주의, ATNT
요청, DMND
요청자, RQSTR
용도, USG
용도지역, ZNG
용적률, FART
우편번호, ZIP
운영, OPER
운전면허번호, DLN
원본, ORGNL
원산지, PLOR
원파일, ORGNFL
월, MM
위도, LAT
위반, VLTN
위촉, ENTRST
위치, PSTN
유선, WRD
유통, RTL
유학, STDYAD
유형, TYPE
유효, VLD
유효기간, EXPIRATION
은행, BANK
읍면동, EMD
응답, RSPNS
응답자, RSPDNT
응시, STR
응원, CHE
의견, OPNN
의뢰, RQST
의뢰자, CLNT
의료, MDLCR
의미, MNNG
의사, DR
이관, TRNSF
이내, WTHN
이동, MVMN
이력, HSTRY
이메일, EML
이미지, IMG
이수, CPTE
이용, UTZTN
이의, OBJC
이자, INT
이전, BFR
이후, AFTR
인가, SNCN
인건비, LBRCO
인구, PPLTN
인수, ACPTN
인수자, ACPTR
인원수, NOPE
인증, CERT
인증서, CFAT
인허가, LCPMT
일, DAY
일련번호, SN
일반, GNRL
일시, DT
일자, YMD
일정, SCHDL
임기, TER
임대, RNTL
임시, TMPR
임용, APNTMN
입고, WRHS
입국, ENTCNY
입금, DPST
입금자, PYR
입대, ENLSTM
입력, INPT
입력자, KBRDR
입사, JNCMP
입산, MTCG
입찰, BID
입학, MTCLTN
자격, QLFC
자격증, CRTFCT
자동차등록번호, VHRNO
자료, DATA
자본금, CPTL
자산, AST
자원봉사, VOLUNT
자율, SLCTL
자주식, SFPRPL
자택, HOME
작성, WRT
작성자, WRTR
작업, JOB
작업자, OPRTR
잔액, BLNC
장비, EQPMNT
장소, PLC
장애, DSBLTY
장애인, PWDBS
재직, HDOF
저자, AUT
저장, STRG
적발, DSCL
적용, APLCN
적합, STBLT
전공, MJR
전문, TELGM
전송, TRSM
전용면적, XUAR
전입, MVIN
전자납부번호, EPAYNO
전체, WHOL
전표, SLIP
전화번호, TELNO
점검, CHCK
점검자, INSCTR
점수, SCR
접근, ACS
접속, CNTN
접수, RCPT
접수자, CLR
정렬, SORT
정리, ARNGMT
정보, INFO
정산, CLCLN
정상, NML
제공, PVSN
제목, TTL
제외, EXCL
제작, FBCTN
제작사, MNFCTR
제조, MNFTR
제조사, MKR
제출, SBMSN
제품, PRDCT
제한, LMT
조사, EXMN
조사자, EXMNR
조정, AJMT
조직, OGNZ
조치, ACTN
조회, INQ
존폐, MTNABN
졸업, GRDTN
종결, TRMN
종료, END
종목, CLS
주건축물, MBLD
주관, SPRVSN
주문, ORDR
주민등록번호, RRNO
주민세, RSDTX
주부속, MANX
주소, ADDR
주요, MAIN
주최, HOST
준공, CMCN
중권역, SBSN
중복, DPCN
중분류, MCLSF
증권, SCRT
지구, DSTRCT
지급, GIVE
지목, LDCG
지방채, MCPBND
지번, LOTNO
지붕, ROOF
지사, BROF
지상, GRND
지역, RGN
지원, SPRT
지점, BRNCH
지정, DSGN
지출, EXPND
지하, UDGD
직급, JBGD
직업, CR
직원, EMP
직위, JBPS
직장, WRC
직종, OCPT
직책, JBTTL
진행, PRGRS
질문, QSTN
질병, DSS
집계, TOT
집합건물, CNBD
집행, IMPL
쪽, PAGE
차대번호, VIN
차량, VHCL
차로, LANE
차상위, SHGHRK
차선, TRFLN
차수, CYCL
차종, CARMDL
착공, BGNCST
참석, ATND
참여자, PRTPNT
참조, RFRNC
채권자, CRDTR
채무자, DBTR
책임, LBI
책임자, RBPRSN
처리, PRCS
처리자, PRCR
처분, DSPS
철거, DMLTN
첨부, ATCH
청구, CLM
청취, LSTN
체납, NPMNT
총건수, TNOCS
총공사, TCSTRN
총금액, GRAMT
총면적, GFA
총사업비, TPCO
총인원수, TNOPE
총주차, TPKCT
총지급, TPMT
최상위, HGHRK
최종, LAST
최초, FRST
최하위, LWTRK
추천, RCMDTN
추출, EXTR
출고, SPMT
출국, DPTCNY
출금, TKMNY
출력, OTPT
출발, DPTRE
출생, BRTH
출원, APPL
출처, SRC
충당, APRP
취득, ACQS
취소, RTRCN
취하, DISCON
측정, MSRMT
측정소, MSRSTN
층, FLR
층수, NOFL
친환경, ECFRD
카드, CARD
컬럼, COL
코드, CD
콘텐츠, CONTS
크기, SZ
클라이언트, CLNT
탈퇴, WHDWL
테이블, TBL
토지, LAND
토지대장, LNDRG
토지면적, LDAR
토지이동, AOCR
통계, STATS
통보, NTFCTN
통제, CNTRL
통지, AVTSMT
퇴사, RSGNTN
퇴직, RTRM
특수지, SPAREA
특이, EXCPTN
파일, FILE
판매, NTSL
판정, JGMT
팝업, POPUP
팩스번호, FXNO
편집기, EDTR
평가, EVL
폐기, DSCD
폐쇄, CLSG
폐업, CLSBIZ
폐지, ABL
표시, INDCT
표준, STD
품목, ITEM
프로그램, PRGRM
필수, ESNTL
하천, RVR
학과, SCSBJT
학교, SCHL
학력, ACBG
학생, STDT
학자금, TUTF
한국표준산업분류, KSIC
한글, KORN
할인, DSCNT
합격, PASS
합계, SUM
항만, HRBR
항목, ARTCL
해당, RLVT
해임, DSMSL
해제, RMV
해지, CNCLTN
행사, EVNT
행정, PBADMS
행정구역, ADMDST
행정동, DONG
행정처분, ADMDSP
허가, PRMSN
협의, CNSLTN
화면, SCRN
화재, FIRE
확인, IDNTY
확인자, IDFR
확장자, EXTN
확정, CFMTN
환급, RMBR
환불, RFND
환수, RDM
환승역, TRFSTN
활동, ACTV
활성, ACTVTN
회계, ACNTG
회계연도, FYR
회사, CO
회수, RTRVL
회신, RPLY
회원, MBR
회의, MTG
횟수, NMTM
훈련, TRAING
휴대, MBL
휴업, TCBIZ
휴일, HLDY
